@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute inputs-7 numeric
@attribute outputs-1 numeric
@attribute outputs-2 numeric

@data
303,'2017/03/27 17:20:04:750',3,0,0,0,0,0,0,0,?,?
304,'2017/03/27 17:20:04:770',3,0,0,0,0,0,0,0,?,?
305,'2017/03/27 17:20:04:792',3,0,0,0,0,0,0,0,?,?
306,'2017/03/27 17:20:04:810',3,0,0,0,0,0,0,0,?,?
307,'2017/03/27 17:20:04:830',3,0,0,0,0,0,0,0,?,?
308,'2017/03/27 17:20:04:852',3,0,0,0,0,0,0,0,?,?
309,'2017/03/27 17:20:04:870',3,0,0,0,0,0,0,0,?,?
310,'2017/03/27 17:20:04:890',3,0,0,0,0,0,0,0,?,?
311,'2017/03/27 17:20:04:912',3,0,0,0,0,0,0,0,?,?
312,'2017/03/27 17:20:04:930',3,0,0,0,0,0,0,0,?,?
313,'2017/03/27 17:20:04:950',3,0,0,0,0,0,0,0,?,?
314,'2017/03/27 17:20:04:980',3,0,0,0,0,0,0,0,?,?
315,'2017/03/27 17:20:04:990',3,0,0,0,0,0,0,0,?,?
316,'2017/03/27 17:20:05:010',3,0,0,0,0,0,0,0,?,?
317,'2017/03/27 17:20:05:033',3,0,0,0,0,0,0,0,?,?
318,'2017/03/27 17:20:05:050',3,0,0,0,0,0,0,0,?,?
319,'2017/03/27 17:20:05:070',3,0,0,0,0,0,0,0,?,?
320,'2017/03/27 17:20:05:092',3,0,0,0,0,0,0,0,?,?
321,'2017/03/27 17:20:05:110',3,0,0,0,0,0,0,0,?,?
322,'2017/03/27 17:20:05:130',3,0,0,0,0,0,0,0,?,?
323,'2017/03/27 17:20:05:152',3,0,0,0,0,0,0,0,?,?
